habit 	 Arbustes souvent épineux, rarement arbres, souvent lianes inermes.
pedicels 	 Pédicelles grêles, longs de 3-13 mm, caducs à la base.
buds 	 Boutons globuleux de 1,5-2,5 mm de diamètre.
flowers 	 Fleur verte sur le vif, noircissant au séchage, rotacée, de 5-6 mm de diamètre.
sepals 	 Sépales inégaux, ovés ou semi-orbiculaires, entiers, larges de 1-1,6 mm.
petals 	 Pétales suborbiculaires avec un large et court onglet à la base, longs de 1,7-2,5 mm, à marge non denticulée.
disk 	 Disque étalé disciforme (parfois un peu cupuliforme dans le bouton), de 1,2-1,8 mm de diamètre.
short stamens 	 Étamines courtes, 0,5-0,7 mm de hauteur avec la base du filet un peu plus large que l'anthère, celle-ci de 0,7-0,8 mm de largeur.
style 	 Style court de 0,2 mm environ.
locules 	 Loges enfoncées à demi ou au tiers sous le niveau du disque, chacune à 4-10 ovules.
fruits 	 Fruits à méricarpes aplatis de 6 X 4 cm, grisâtres et finement lenti-cellés à sec.
seeds 	 Graines par 4 au moins, noirâtres, ailées, de 4,8 X 2,1 cm (Breyne 412).
habit 	 Liane petite (7 m) ou très longue (plus de 60 m), diamètre 4 cm, très voisine de la précédente.
leaves 	 Feuilles, inflorescences et fleurs sont ordinairement moins noircissantes à sec, et souvent vert olive en herbier.
petiole 	 Pétioles de 5-9 mm.
secondary veins 	 Nervures secondaires 6-9 paires.
inflorescences 	 Inflorescences à pédoncule de 2,5-9 cm.
pedicels 	 Pédicelles floraux très courts, 0,4-2 mm.
petals 	 Pétales à marge finement denticulée.
ovules 	 Ovules 6-7 par loge.
carpels 	 Carpelles de 60 X 25 mm (Louis 16494) et graines de 35 mm.
habit 	 Lianes inermes élevées; vieux bois cylindrique normal, souvent jaune pâle. 
latex 	 Absence totale de filaments de caoutchouc.
leaves 	 Feuilles opposées ou faiblement subopposées, pétiolées.
lamina 	 Limbe entier ou denté.
stipules 	 Stipules très réduites.
inflorescences 	 Inflorescences axillaires pédonculées, parfois rapprochées en pani-cules terminales; cymes dichotomes toujours dépourvues de ramifications surnuméraires;  entre-noeuds des cymes plus ou moins quadrangu-laires;  bractées petites, aiguës opposées. 
buds 	 Boutons globuleux, ovés ou oblongs.
flowers 	 Fleurs modestes de 3,5-7(10) mm de diamètre, souvent vertes, parfois jaunes, ± pédicellées.
sepals 	 Sépales 5 quinconciaux égaux ou inégaux, entiers ou finement fimbriolés.
petals 	 Pétales 5 quinconciaux sessiles, bien recouvrants les uns les autres au sommet du bouton, insérés entre des sinuosités de la base du disque.
disk 	 Disque orienté latéralement et séparé de l'androcée par un massif charnu formant un androgynophore ± cylindrique, parfois globuleux ou tronconique.
stamens 	 Étamines 3 insérées plus haut que le niveau supérieur nectarifère du disque; filets brièvement rubanés ou ± élargis;  anthère transversalement déhiscente;  pollen simple tricol-poré. 
style 	 Style petit de 0,5-1,5 mm, triangulaire à la base; ovaire demi-enfoncé sous le niveau d'insertion des filets qui masquent des sillons intercarpellaires. (4)6-16 ovules par loge ± disposées en deux rangées. 
fruits 	 Fruit tricarpellé à 3 méricarpes de deux valves caduques chaque.
seeds 	 Graine ailée à deux nervures dont le raphé transalaire; insertions sur des étuis triangulaires comprimés. 
embryo 	 Caractères de l'embryon non connus.
habit 	 Liane glabre dépassant 10 m, à rameaux étroits cylindriques.
mature stems 	 Vieilles tiges d'un diamètre de 2 cm, armées d'épines ligneuses coniques émoussées ( Pl. 62 ).
petiole 	 Pétiole de 4-7 mm.
lamina 	 Limbe olivâtre à roussâtre à sec et presque subcoriace, entier, de (4)5-11 × 3-6 cm; base arrondie;  acumen très court dépassant rarement 8 mm. 
veins 	 Nervures, dont 5-7 paires de secondaires, fines et en relief sur les deux faces.
inflorescences 	 Inflorescences axillaires en cymes remarquablement grêles, pédon-culées sur 1,5-3 cm, dichotomes, très divariquées, à 3-6 divisions successives, parfois groupées en panicules.
bracts 	 Bractées deltoïdes aiguës de 0,5-1 mm.
pedicels 	 Pédicelle de 0,4-1,5 mm, très court sous le bouton ové oblong de 1,5-3 mm de longueur.
flowers 	 Fleurs de 2,5-4 mm de diamètre, parfois accrues par des galles.
calyx 	 Calice urcéolé à sépales ovés arrondis subégaux.
petals 	 Pétales vert jaune ou jaune citron, ovales, de 1,5-3 X 1-2 mm, à base brusquement rétrécie entre les sinus du disque et munie dessus d'une petite carène charnue, à marge ayant parfois une indentation latérale; corolle semi-urcéolée. 
disk 	 Disque cylindrique, sinueux à la base, surmonté par un androphore charnu de même diamètre, 0,7 mm.
filaments 	 Filets de 1 mm, un peu larges, insérés à mi-hauteur des loges de l'ovaire.
style 	 Style 0,4 mm.
ovules 	 6-7 ovules par loge disposés en deux rangs.
juvenile fruits 	 Fruit juvénile souvent gallé avec les pièces florales persistantes.
habit 	 Liane glabre, élevée, à rameaux cylindriques lisses.
wood 	 Bois cylindrique non sillonné dépassant 3 cm de diamètre.
petiole 	 Pétiole de (5)7-11 (-14) mm.
lamina 	 Limbe grisâtre à sec, plutôt mince, de 6-15 × 3-8 cm; base ± aiguë;  sommet ± acuminé;  marge serrulée, avec 2-5 dents peu saillantes pour 1 cm. 
veins 	 Nervation, dont 5-7 paires de secondaires, en relief sur les deux faces à sec.
inflorescences 	 Inflorescences axillaires en cymes dichotomes divariquées, jusqu'à 6 fois divisées, souvent groupées en panicules terminales; pédoncule des cymes long de 0,8-2 cm;  axes quadrangulaires. 
bracts 	 Bractées aiguës, ± dentées, atteignant 1 mm.
pedicels 	 Pédicelle très court, 0,5-1 mm, microverruculeux.
buds 	 Bouton brièvement oblong, arrondi au sommet.
flowers 	 Fleurs vertes, nombreuses, de 4-6 mm de diamètre, pratiquement rotacées.
sepals 	 Sépales brièvement ovés subégaux, larges de 0,9-1,3 mm, à marge microdenticulée paraissant entière.
petals 	 Pétales imbriqués oblongs de 2,4-3 X 1,5-2 mm, à très étroite marge mince et pâle à sec; l'insertion basale est plutôt large. 
disk 	 Disque formant avec l'androgynophore qui le surmonte un cylindre charnu haut de 1-1,5 mm, diamètre 1,1-1,6 mm; la base est sinueuse, la mi-hauteur présente une légère constriction. 
stamens 	 Étamines de 1 mm ou moins, insérées à mi-hauteur des loges.
ovules 	 Ovules 8-12 par loge, souvent sur 2 rangs.
style 	 Style d'environ 0,5 mm.
fruits 	 Fruit à méricarpes de 5-7 X 2,5-3 cm.
seeds 	 Graines de 4-5 X 1,2-2 cm, aile comprise.
odor 	 Plante odoriférante à sec.
note 	 Cette espèce est très voisine de la précédente.
leaves 	 Elle se distingue par ses feuilles à peine ou non dentées, par ses nervures secondaires un peu moins nombreuses, 4-6 paires, et un peu plus longuement arquées ascendantes.
pedicels 	 Elle diffère surtout par ses pédicelles floraux lisses et plus longs de 1,5-4 mm; par les lobes du calice à la fois très inégaux et réfractés;  par la forme curieuse des pétales a l'anthese: le dessus est convexe bossu, la base est convolutée, un ou deux des côtés du sommet sont émarginés et déformés chez au moins 3 des 5 pétales.  
style and filaments 	 Enfin le style et les filets sont un peu plus longs, jusqu'à 2 mm,
ovules 	 et les ovules sont au nombre de 12-16 par loge.
disk 	 Le disque est semblable à celui de l'espèce précédente.
fruits 	 Fruit à 6 valves; graine d'environ 5 X 2 cm y compris l'aile. 
habit 	 Liane glabre atteignant 10 m, à rameaux lisses, cylindriques ou à très fines arêtes.
petiole 	 Pétiole de 8-14 mm.
lamina 	 Limbe grisâtre à sec, mince, de 6-17 × 3-8 cm, ovale ou à peine oblong; base arrondie à subaiguë;  sommet très médiocrement acuminé sur moins de 5 mm;  marge entière. 
veins 	 Nervation fine et en relief sur les deux faces à sec, avec 6-7 paires de nervures secondaires.
inflorescences 	 Inflorescences axillaires en cymes grêles, dichotomes et divariquées avec jusqu'à 6 divisions successives, parfois groupées en panicules; pédoncules des cymes longs de 2-4 cm. 
bracts 	 Bractées ovées deltoïdes.
pedicels 	 Pédicelles fins et lisses de 2,5-4,2 mm.
buds 	 Boutons globoïdes.
flowers 	 Fleurs vertes, nombreuses, de 5-7,5(8,5) mm de diamètre.
sepals 	 Sépales semi-orbiculaires imbriqués subégaux, larges de 1,2-1,8 mm, à marge fimbriolée ciliolée.
petals 	 Pétales imbriqués suborbiculaires d'environ 3,5 X 3 mm, opaques et foncés, à mince marge pâle à sec.
disk 	 Disque petit de 1,5-2,4 mm de diamètre, en étroit bourrelet un peu sinueux, séparé de l'androphore charnu subglobuleux de même diamètre.
filaments 	 Filets très courts, larges à la base, ceinturant l'ovaire en son milieu.
locules 	 Loges 3, chacune à 7-14 ovules ± serrés sur 3 rangs; style petit, d'environ 0,5 mm. 
fruits 	 Fruit non connu, sans doute difficile à distinguer de celui des espèces voisines.
habit 	 Lianes inermes élevées, entièrement glabres.
wood 	 Vieux bois cylindrique normal.
filaments 	 Filaments de caoutchouc présents ou absents.
stipules 	 Stipules réduites.
leaves 	 Feuilles opposées, rarement subopposées, pétiolées.
lamina 	 Limbe entier ou à faibles denticules espacés.
inflorescences 	 Inflorescences en cymes axillaires dichotomes dépourvues de ramifications surnuméraires, pédonculées souvent groupées en panicules terminales; entre-noeuds cylindriques. 
bracts 	 Bractées opposées dans les cymes, parfois subopposées sur le rachis des panicules, petites et deltoïdes.
buds 	 Boutons plutôt gros, globuleux; à pétales très largement imbriqués cucullés. 
flowers 	 Fleurs plutôt larges, 1 cm ou plus, s'ouvrant largement, blanches devenant jaunes, pédicellées.
sepals 	 Sépales 5 quinconciaux inégaux, suborbiculai-res, finement denticulés.
petals 	 Pétales 5 espacés, étroits ou atténués à la base, concaves dessus en cuiller, blanc pur au début de l'anthèse, à nervures formant des arceaux.
disk 	 Disque petit, bas, ± étalé ou relevé en cupule, à bord mince; intérieur du disque nettement en dépression. 
stamens 	 Étamines insérées profondément au contact du bord interne du disque; filets rubanés courts;  anthère transversalement déhiscente;  pollen en monades tricolporées. 
ovary 	 Ovaire nettement enfoncé, au niveau moyen de la base des lobes du calice; le haut des loges, à paroi mince, est bombé entre les filets;  les loges sont séparées de l'androcée par un sillon profond à la base des filets. 
style 	 Style étroit et très court; stigmate subsessile à 3 lobes arqués extrorses déjà formés dans le bouton. (4)6-9 ovules par loge en 2 rangs. 
fruits 	 Fruit à réceptacle turbiné, à 6 valves caduques plutôt souples.
seeds 	 Graines soit grosses et aptères (par atrophie de l'aile) sans étuis d'insertion, soit comprimées ailées à raphé transalaire, insérées sur un étui funiculaire.
habit 	 Liane élevée à rameaux cylindriques; écorce à lenticelles subéreuses lippues en long. 
petiole 	 Pétiole de 5-12 mm, canaliculé.
lamina 	 Limbe plutôt mince, contenant parfois du caoutchouc en filaments visibles à la cassure à sec, ± olivacé concolore à sec avec les nervures et la marge pâles, de 4-11 (-15) × 2-6 cm, elliptique, arrondi à aigu à la base; sommet à acumen plutôt court et large, souvent arrondi au bout;  marge ornée d'une étroite bande, moins de 1 mm, riche en nervilles transverses, et munie de quelques indentations peu saillantes. 
secondary veins 	 Nervures secondaires 5-7 paires arquées en série d'arceaux n'atteignant pas la marge.
inflorescences 	 Inflorescences ± développées, en cymes, ou plus souvent en pani-cules de cymes, à pédoncules de 2-4 cm environ, plutôt grêles.
pedicels 	 Pédicelles de 3-7 mm.
buds 	 Boutons globuleux, jusqu'à 3,5 mm de diamètre, à calice vert.
flowers 	 Fleur de 8-12 mm de diamètre.
sepals 	 Sépales inégaux, larges de 1,6-2,2 mm, arrondis, microdenticulés.
petals 	 Pétales blancs virant au jaune, subonguiculés, espacés, obovales, concaves en calotte, de 4-5 X 3-4 mm.
disk 	 Disque de 2,5-3 mm de diamètre à 5 lobes un peu anguleux d'où un contour décagonal, légèrement cupuliforme dans le bouton.
stamens 	 Étamines à filet de 1 mm.
pistil 	 Partie visible du pistil haute de 1 mm.
ovules 	 6-9 ovules par loge.
fruits 	 Fruit à méricarpes ellipsoïdes atteignant 4 X 4,5 cm.
seeds 	 Graines vues par 6, de 3-5,3 X 1-2 cm; étuis funiculaires atteignant 3-5 mm. 
cotyledons 	 Cotylédons soudés; embryon à structures à peu près indistinctes (Nsi-mundele 770, BR!). 
habit 	 Lianes élevées, 5-20 m et plus, à tiges cylindriques.
petiole 	 Pétiole de 10-20(-26) mm.
lamina 	 Limbe grand, de 10-27 × 7-17 cm, coriace; base souvent arrondie;  sommet ± large avec un acumen souvent court et aigu de moins de 1 cm;  marge entière. 
secondary veins 	 Nervures secondaires 5-8 paires.
reticulum 	 Réticule dense parfois très apparent à sec, en clair sur limbe olivacé.
inflorescences 	 Inflorescences lâches en panicules de cymes ou en cymes à pédoncule de 4-12 cm, plutôt vigoureux.
pedicels 	 Pédicelle de 5-10(-25) mm.
buds 	 Boutons globuleux de 4-6 mm de diamètre.
flowers 	 Fleur de 20-24 mm de diamètre.
calyx 	 Calice vert; 5 sépales subégaux, de 1,7-2,7 mm de largeur, arrondis et microdenticulés. 
petals 	 Pétales blancs virant au jaune ocracé, subonguiculés, espacés, obovales, concaves en calotte, de 7-12×5-7 mm.
disk 	 Disque de 3-3,5 mm de diamètre, à 5 lobes arrondis.
stamens 	 Étamines à filets de 0,5 mm, aussi larges que longs.
pistil 	 Pistil haut de 1 mm environ, à (4)6(-8) ovules par loge, à stigmatc lobć déjà dans le bouton.
fruits 	 Fruit volumineux, de 15 cm de diamètre avec les 3 carpelles.
mericarps 	 Méricarpe atteignant 10-11 ou 11-10 cm, épaisseur jusqu'à 4 cm, de forme variable; réceptacle jusqu'à 12 mm de diamètre. 
seeds 	 Graines 4-6 par carpelle, de 4-6×2-3 cm, pesant jusqu'à 15 g, à raphé rubané long de 5-33 mm, sans aile.
cotyledons 	 Cotylédons au moins en partie soudés.
embryo 	 Embryon peu structuré.
habit 	 Lianes glabres (sauf l'espèce américaine qui est scabre), souvent élevées, à massif ligneux cylindrique.
latex 	 Pas de filaments de caoutchouc.
leaves 	 Feuilles à limbe entier ou parfois denté.
inflorescences 	 Inflorescences souvent paniculées, rameuses et lâches chez plusieurs espèces.
buds 	 Boutons subglobuleux, plus larges que hauts.
flowers 	 Fleurs pédicellées plutôt grandes, rotacées, de (6)8-13 mm de diamètre.
sepals 	 Sépales ± inégaux, quinconciaux.
petals 	 Pétales orbiculaires haussés par un net onglet étroit.
disk 	 Disque charnu ± patelliforme, soit largement tronconique, soit étalé en coussinet aplati, zoné d'une marge externe micropapillifère ou partie nectarifère qui n'est pas en contact avec la base des filets.
pistil 	 Pistil pyramidal, style conique étroit.
ovules 	 4-20 ovules par loge.
fruits 	 Fruit tricarpellé déhiscent en 6 valves caduques.
seeds 	 Graines ailées à raphé traversant l'aile.
placenta 	 Tubulures placentaires insuffisamment connues.
cotyledons 	 Cotylédons soudés au moins chez l'espèce américaine.
habit 	 Liane atteignant 10 m, entièrement glabre, à rameaux et bois cylindriques (structure normale observée sur tige de 7 mm de diamètre).
latex 	 Pas de caoutchouc.
stipules 	 Stipules réduites.
leaves 	 Feuilles opposées.
petiole 	 Pétioles de 6-12 mm.
lamina 	 Limbe cartacé à subcoriace, olivacé à olivacé jaunâtre à sec, elliptique, de 5-18 X 2,5-8,5 cm; base aiguë à obtuse;  sommet à acumen de (0)2-12 mm;  marge entière finement rebordée dessous. 
secondary veins 	 Nervures secondaires 5-7 paires longuement arquées ascendantes; fin réseau souvent peu distinct. 
panicles 	 Panicules plutôt lâches dépassant 20 cm, composées de cymes parfois subopposées sur le rachis, et parfois interrompues de feuilles; axes cylindriques;  pédoncules des cymes longs de 2-5 cm. 
hairs 	 Tous les axes sont glabres ainsi que les pédicelles longs de 4-6 mm.
buds 	 Bouton vert subglobuleux de 3-4 mm de diamètre.
flowers 	 Fleurs vertes de 9-12 mm de diamètre.
sepals 	 Sépales 5 subcirculaires un peu inégaux, de 1,8-3,5 mm de largeur, à marge ciliée.
petals 	 Pétales 5 verts devenant brun clair en fin d'anthèse, onguiculés étroitement, à limbe concave circulaire cilié-fimbrié, larges de 3-4 mm, à lanières marginales de 0,8-1,5 mm.
disk 	 Disque un peu cupuli-forme dans le bouton puis étalé 5-lobé, de 4-6 mm de diamètre, marginé jusqu'à 1 mm de l'androcée.
filaments 	 Filet rubané dépassant 2 mm; anthère en chevron (environ 90°) large de 1,5 mm. 
pistil 	 Pistil pyramidal; ovaire presque entièrement supérieur au disque;  12-20 ovules par loge. 
fruits 	 Fruit et graines non connus.
habit 	 Liane élevée dépassant 5-10 m, glabre, dépourvue de caoutchouc, à jeunes rameaux et vieux bois cylindriques; écorce lenticellée. 
stipules 	 Stipules réduites.
leaves 	 Feuilles opposées.
petiole 	 Pétiole de 6-12 mm.
lamina 	 Limbe olivacé, chartacé subcoriace à sec, elliptique, de 7-20(-24) X 3,5-11 cm; base cunéiforme aiguë à arrondie;  sommet à acumen de 4-13 mm;  marge entière. 
veins 	 Nervation très apparente, saillante et claire à sec dont 5-7(8) paires de secondaires longuement obliques jusqu'à presque tangentes à la marge.
veinlets 	 Fin réseau flabellé moyennement dense.
inflorescences 	 Inflorescences grandes et lâches en panicules de 12-30 cm, composées de cymes parfois subopposées sur le rachis; axes cylindriques;  bractées de 1-4 mm;  pédoncule de cyme de 10-55 mm;  les ramifications supérieures et les pédicelles sont finement pubérulents. 
pedicels 	 Pédicelles de 2-7 mm.
buds 	 Bouton vert de 3-4 mm de diamètre, plus large que long.
flowers 	 Fleur verte de 8-10 mm de diamètre.
sepals 	 Sépales 5 subégaux largement imbriqués, ovés et larges de 2 mm.
petals 	 Pétales 5 vert clair, espacés onguiculés, à limbe suborbiculaire auriculé, entier dans la forme typique, dentelé frangé dans une forme ouest-africaine.
disk 	 Disque vert foncé d'environ 4 mm de diamètre, aplati patelliforme à champ marginal annulaire micropapilli-fère.
stamens 	 Étamines larges à la base, filets longs d'environ 2 mm; anthère transversalement déhiscente, large de 1 mm. 
pistil 	 Pistil de 2,6 mm dans sa partie apparente; style subulé. (9)10-14 ovules par loge, paraissant tassés en 4 rangées. 
fruits 	 Fruit à méricarpes épais très coriaces, violacé foncé à l'intérieur, de 6-9 X 3-5 cm, à sommet arrondi ou subtronqué, parfois apiculé.
seeds 	 Graines de 4,4-6,5 X 1,7-2,5 cm, à membrane alaire roux brillant, peu translucide.
cotyledons 	 Cotylédons soudés; radicule un peu saillante. 
leaves 	 Les matériaux conformes au type de la côte orientale d'Afrique ont des feuilles bien dentées. Il en est de même pour une récolte de Pointe-Noire qui provient de bosquets littoraux et dont les caractères principaux sont les suivants: plante ne noircissant pas au séchage;  les feuilles discolores sont roux pâle olivacé à sec;  limbe coriace de 1,5-4,5 X 1,2-2,2 cm, à nervures et nervilles en net relief. 
cymes 	 Cymes plus petites que chez Pristimera graciliflora, et groupées en panicules.
flowers 	 Fleurs de 6,5-7 mm de diamètre; pétales de 2,3-3 X 2,4--2,5 mm. 
sepals 	 Sépales inégaux brièvement ciliolés, larges de 1-1,6 mm.
disk 	 Disque calyptréiforme et non plat, marginé (zone nectarifère) un peu au-dessous du niveau d'insertion des étamines; ces dernières sont allongées, à filet plus long que large. 
pistil 	 Partie apparente du pistil de 1,4 mm.
ovules 	 4-5 ovules par loge.
mericarps 	 Méricarpes d'environ 4-5 X 2 cm.
seeds 	 Graines à aile ± mouchetée de très fines taches.
flowers 	 Fleur de 7-8 mm de diamètre; sépales nettement ciliolés;  pétales longs de 3,5 mm;  6-8 ovules par loge. 
habit 	 Grandes lianes ou buissons sarmenteux; filaments de caoutchouc absents des fleurs, des fruits, des graines et des feuilles, absent à ± abondant dans le parenchyme de remplissage de certaines tiges ligneuses. 
stem anatomy 	 Massif ligneux de sillons rayonnants ± profonds, continus ou discontinus, remplis de parenchyme; cette structure contribue à une certaine souplesse des lianes élevées;  les plus grosses et les plus grandes se fracturant parfois en 4 massifs qui tendent à réitérer la structure initiale. 
leaves 	 Feuilles entières ou médiocrement crénelées.
inflorescences 	 Inflorescences à base de cymes bipares axillaires sans ramifications surnuméraires.
sepals 	 Sépales 5 égaux ou non, plutôt petits.
corolla 	 Corolle valvaire ou à marges très étroitement imbriquées; 5 pétales souvent longs, glabres ou pubescents, ne se recouvrant pas les uns les autres, sauf chez L. yaun-dina, au sommet du bouton qui est le plus souvent conique. 
anthers 	 Anthères subapicales transverses à loges confluentes; pollen en monades tricolpo-rées d'environ 20-40 μm de diamètre, souvent bréviaxes et finement réticulées. 
ovary 	 Ovaire à paroi mince entouré par la base des filets; style coni-co-pyramidal à stigmate ponctiforme;  4-15 (22) ovules par loge. 
disk 	 Disque souvent cerné d'une légère encolure ou d'une gouttière annulaire séparant un rebord charnu inférieur parfois cupuliforme d'un massif charnu supérieur très variable et ± développé.
fruits 	 Fruits, graines et étuis funiculaires du fond du carpelle comme chez Hippocratea mais sans filaments de caoutchouc.
cotyledons 	 Cotylédons soudés, hypogés dans la plantule.
habit 	 Très grande liane forestière atteignant 30 à 40 m.
bark 	 Écorce du tronc presque lisse ou un peu rugueuse gris ocracé clair ou gris brun, parfois fissurée en long.
latex 	 Caoutchouc ± abondant dans le parenchyme cortical, absent dans les feuilles.
wood 	 Le vieux bois, 18 cm de diamètre, orné de profonds sillons, tend à se séparer en 4 quartiers.
internodes 	 Entre-noeuds glabres, rous-sâtres, devenant lenticellés.
stipules 	 Stipules réduites, espacées sur un bourrelet transversal.
petiole 	 Pétiole de 5-9(12) mm.
lamina 	 Limbe entier, obovale ou elliptique de 7-18(-25) X 3-10(-12) cm, subcoriace, le plus souvent roussâtre à sec; base variable souvent obtuse;  sommet souvent brusquement et brièvement acuminé. 
secondary veins 	 Nervures secondaires 7-9(10) paires; fin réseau en relief à sec. 
cymes 	 Cymes ± lâches et multiflores, longues jusqu'à 12(-15) cm, parfois groupées en panicules terminales; axes pubérulents. 
pedicels 	 Pédicelle des fleurs inférieures long et grêle, caduc au-dessus de la base; les autres atteignent seulement 2-3 mm et se détachent à la base. 
buds 	 Bouton atténué pyramidal étroit, subobtus au sommet, long de 5-6,5 mm, vêtu d'une très fine pubérulence.
flowers 	 Fleur verte à colonne centrale blanche.
sepals 	 Sépales aigus de 0,5 mm.
petals 	 Pétales valvaires à la base et très étroitement imbriqués aux approches du sommet, de 4,5-6 X 1,2-1,5 mm, glabres seulement à la base de la face interne.
disk 	 Disque élevé, pyramidal, à 5 dents saillantes autour de la base.
anthers 	 Anthère transverse, large de 0,7 mm, subapicalement déhiscente.
style 	 Style de 1,5 mm.
locules 	 Loges de l'ovaire à 8-10 ovules chacune, juste inférieures au niveau de l'androcée.
mericarps 	 Méricarpes ovoïdes oblongs de 7-11×3-4 cm.
seeds 	 Graines de 5,5 X 2 cm, presque uniformément roux saumoné; cotylédons 21-23 X 4-5 mm;  étuis funiculaires 4-5×3 mm. 
habit 	 Très grande liane atteignant 40 à 100 m de longueur; tronc dépassant 20 cm de diamètre à écorce lisse ou rugueuse, ocracée ou grisâtre, fissurée en long, un peu craquelée transversalement;  caoutchouc rare dans le parenchyme cortical, absent ailleurs. 
wood 	 Vieux bois comme dans l'espèce précédente.
internodes 	 Entre-noeuds plus grêles et moins lenticellés.
stipules 	 Stipules réduites, le plus souvent espacées sur un bourrelet transversal.
petiole 	 Pétiole de (5)7-15 mm.
lamina 	 Limbe médiocrement mais assez régulièrement crénelé denté, elliptique, de 5-15 X 2,5-8 cm, chartacé plutôt mince, olivâtre ou brun à sec; base variable aiguë ou arrondie;  sommet à acumen de 6-15 mm. 
secondary veins 	 Nervures secondaires 6-8(-10) paires; les nervilles apparentes sont plus fines que dans l'espèce précédente. 
inflorescences 	 Inflorescence très finement pubescente (petits poils pluricellulaires à éléments oblongs).
panicles 	 Panicules et cymes multiflores très lâches et divari-quées; pédoncule glabrescent;  les plus grandes cymes longues de 10-12 cm. 
pedicels 	 Pédicelles de fleurs inférieures jusqu'à 30 mm, ceux des fleurs supérieures 5-18 mm.
buds 	 Bouton étroitement ellipsoïde à presque oblong d'environ 6-10 mm, finement pubérulent.
flowers 	 Fleur vert pâle devenant jaune ocracé, à colonne centrale blanche.
calyx 	 Calice en collerette, 1-1,4 mm, à 5 denticules de 0,5 mm.
petals 	 Pétales bien valvaires jusqu'au sommet, de 6-10 X 1,4-2 mm, réfractés à l'anthèse.
column 	 Colonne haute de 5,5-6,5 mm; cupule discale haute de 1,5 mm, marginée de vert vif, observée remplie de nectar;  androgynophore subcylindrique de diamètre égal ou dépassant un peu la cupule. 
filaments 	 Filets blancs, 1-2 mm.
anthers 	 Anthères jaune vif de 1 mm de largeur.
style 	 Style subpyramidal de 1,5 mm.
ovary 	 Ovaire juste sous le niveau des étamines à 3 loges ayant chacune 14-15(22) ovules.
mericarps 	 Méricarpes obovoïdes oblongs de 6-9,5(12) X 3-4 cm, à paroi mince.
seeds 	 Graines de (4,5)5,5-7 X 1,8-2 cm; étuis funiculaires de 4-5,5 X 3-4 mm. 
seedlings 	 Plantule suhypogée.
buds 	 La variété-type se distingue par ses boutons coniques et aigus
ovules 	 et par ses ovules souvent moins nombreux, (2-)4(-6) par loge.
carpels 	 Les carpelles sont plus longs que larges dans le fruit.
habit 	 Grande liane forestière atteignant 25 à 40 m; tronc à écorce lisse mais très finement piquetée de petites lenticelles allongées transversalement, brun grisâtre, parfois faiblement rugueuse, médiocrement fissurée et grisâtre. 
latex 	 Pas de caoutchouc.
wood 	 Bois creusé de sillons (17 et 22 sillons de 2-5 mm de profondeur pour des diamètres de 20 et 32 mm).
internodes 	 Entrenoeuds bruns pubérulents, ceux des rameaux plagiotropes cylindriques.
stipules 	 Stipules non liées par un bourrelet transversal.
petiole 	 Pétiole de 6-12 mm, roux pubérulent.
lamina 	 Limbe denté ondulé, crénelé ou subcrénelé, ovale, de 3-11 X 2-6 cm, chartacé à subcoriace, gris brunâtre ou roussâtre à sec; base souvent arrondie;  sommet acuminé. 
secondary veins 	 Nervures secondaires 5-8 paires; fin réseau non toujours net. 
cymes 	 Cymes peu développées multiflores longues de 1-4 cm, parfois groupées en panicules terminales; axes fauves pubérulents. 
pedicels 	 Pédicelles de 2-4 mm.
buds 	 Boutons plutôt serrés, roux pubescents, en forme de toupie, longs de 3-4 mm.
flowers 	 Fleurs blanchâtres, gris vert pâle ou blanc jaunâtre, de 7-8 mm de diamètre.
calyx 	 Calice de 2,5 mm de diamètre.
petals 	 Pétales de 3-4 X 1,3-1,5 mm, aigus au sommet, pubérulents avec des poils plus longs dans l'axe de la face externe et une plage glabre à la base de la face interne; une fossette subapicale interne marque la compression des anthères avant l'anthèse. 
disk 	 Disque glabre en cupule très ouverte d'environ 2 mm de diamètre entourant un très court androgynophore.
stamens 	 Étamines 3 pubérulentes à anthćrc de 0,6 mm de largeur, subapicalement déhiscente.
pistil 	 Pistil pyramidal de 1,5 mm pubescent sur le haut des loges entre les étamines. (5)6-8(9) ovules par loge, ces dernières sont demi-enfoncées; stigmate ponctiforme. 
mericarps 	 Méricarpes ovoïdes oblongs de 55-65 X 25-32 mm, à pubérulence rase ferrugineuse; intérieur lisse brun roux. 
seeds 	 Graines de 3-4,5 X 1,5 cm, presque uniformément roux pâle; cotylédons 15×5 mm;  étuis funiculaires longs de 2-3 mm. 
buds 	 Se distingue par ses boutons plus grands et plus aigus,
petals 	 par ses pétales de 4-5 mm très aigus,
ovules 	 par le nombre réduit de ses ovules, 2-4 par loge,
carpels 	 et par ses carpelles aussi larges ou presque aussi larges que longs dans le fruit.
habit 	 Liane ligneuse à entre-noeuds glabres, les plus âgés brunâtres et finement rugueux lenticellés.
stipules 	 Stipules réduites rapprochées sur un fin bourrelet transversal arqué.
latex 	 Pas de caoutchouc.
petiole 	 Pétiole de 5-13 mm, glabre.
lamina 	 Limbe coriace roux à olivacé roux à sec, rebordé, marge avec des denti-cules peu distincts, de 5-20 X 3-10 cm; base aiguë à arrondie;  sommet avec un acumen de 8-13 mm. 
secondary veins 	 Nervures secondaires 6-8 paires; nervilles indistinctes, surtout dessus. 
